oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
562113100004843,75619216,2458510.6969994614,58510.1921644,13.4762411,0.011069118,0,zg,91.8824439,22.3575971,1.81799996,0.00800000038,20190127192164,562,0xd,0x1,20.1000004,26.1119061,0.03399406,-0.0395097323,1.4018462e-05,30,1.046,1
562113100004843,75718631,2458511.6910969024,58511.1863194,13.53578,0.0111211436,0,zg,91.8824555,22.3575295,0.658999979,0.0219999999,20190128186308,562,0xd,0x1,21.3199997,26.125227,0.0219532661,-0.071110256,5.90672926e-06,30,1.04900002,1
562113100004843,76020260,2458514.70719848,58514.2026042,13.6424065,0.0112171089,0,zg,91.8824098,22.357609,6.7670002,0.0700000003,20190131202593,562,0xd,0x1,20.8600006,26.0932846,0.0275249407,-0.0178808607,9.04484386e-06,30,1.03299999,1
562113100004843,76818634,2458522.6903930185,58522.1863426,13.6109581,0.0111884149,32768,zg,91.8823443,22.3576613,10.007,0.0960000008,20190208186296,562,0xd,0x1,20.6700001,26.3609943,0.0878015533,-0.045308359,0.000127876832,30,1.03199995,1
562113100004843,76924482,2458523.7487987205,58523.2448264,13.4871721,0.0110785905,0,zg,91.8824109,22.3576176,2.06100011,-0.0780000016,20190209244815,562,0xd,0x1,20.7399998,26.0459747,0.0285509024,-0.0363870338,9.73518581e-06,30,1.09599996,1
562113100004843,77024550,2458524.7494065855,58524.2455093,13.514184,0.0111021483,0,zg,91.8824318,22.3575884,1.08899999,-0.0199999996,20190210245486,562,0xd,0x1,20.8899994,26.1013851,0.0255428869,-0.0311037265,7.77764308e-06,30,1.10399997,1
562113100004843,78016527,2458534.6683735,58534.1652778,13.4710903,0.0110646673,32768,zg,91.8823802,22.3576515,5.27600002,0.175999999,20190220165243,562,0xd,0x1,19.2099991,26.2780228,0.0772591829,-0.0179161429,8.94550976e-05,30,1.03400004,1
562113100004843,78418528,2458538.688033925,58538.1852894,13.5307159,0.011116676,32768,zg,91.8824513,22.3575433,1.199,-0.0850000009,20190224185278,562,0xd,0x1,19.5,24.7469025,0.0446118936,-0.0478663631,2.60320485e-05,30,1.06200004,1
562113100004843,78521678,2458539.719434678,58539.2167824,13.4855518,0.0110771833,0,zg,91.8824465,22.3575474,0.936999977,0.0149999997,20190225216771,562,0xd,0x1,21.2999992,26.1114368,0.0240239035,-0.0555499531,7.00009741e-06,30,1.13600004,1
562113100004843,78615253,2458540.6551026176,58540.1525347,13.4790926,0.011071587,0,zg,91.8824497,22.3575431,1.38499999,-0.00800000038,20190226152106,562,0xd,0x1,21.2000008,26.1100559,0.0259502195,-0.0578462966,8.13210499e-06,30,1.03600001,1
562113100004843,79322849,2458547.7304059584,58547.2284954,13.4974918,0.0110875648,0,zg,91.882443,22.3575528,0.697000027,-0.0439999998,20190305228495,562,0xd,0x1,21.1800003,26.0849323,0.0217597317,-0.0492268391,5.60234866e-06,30,1.26800001,1
562113100004843,80516521,2458559.6659671413,58559.1652199,13.5095711,0.0110981092,0,zg,91.8824451,22.3575399,0.538999975,-0.0130000003,20190317165197,562,0xd,0x1,19.9300003,26.1248798,0.0320122726,-0.0650191531,1.2413283e-05,30,1.14499998,1
562113100004843,80614927,2458560.649920402,58560.1492708,13.5142899,0.0111022415,0,zg,91.8824457,22.3575532,0.31099999,0.00100000005,20190318149236,562,0xd,0x1,19.9699993,26.128767,0.0300263874,-0.0458360948,1.08939248e-05,30,1.10800004,1
562113100004843,80818069,2458562.681142023,58562.1806944,13.4722147,0.0110656386,0,zg,91.8824303,22.3575561,0.579999983,-0.0289999992,20190320180671,562,0xd,0x1,19.4400005,26.0544395,0.0392852351,-0.0352874994,1.87102214e-05,30,1.23500001,1
562113100004843,81316543,2458567.665390938,58567.1654398,13.4958067,0.011086097,0,zg,91.88244030000001,22.3575367,1.07000005,-0.0689999983,20190325165428,562,0xd,0x1,20.75,26.0352364,0.0244715121,-0.051784277,7.09509595e-06,30,1.22800004,1
562113100004843,81417942,2458568.6792714954,58568.1794213,13.4828081,0.0110748038,0,zg,91.8824226,22.3575975,1.77499998,-0.0549999997,20190326179410,562,0xd,0x1,20.4300003,25.8277645,0.0279594995,-0.0302155986,9.26567463e-06,30,1.31299996,1
562113100004843,81816571,2458572.6651721774,58572.1657176,13.4626055,0.0110573526,32768,zg,91.8824384,22.3575401,0.549000025,-0.0329999998,20190330165706,562,0xd,0x1,19.6599998,25.0410099,0.0430693217,-0.0375310779,2.23975512e-05,30,1.29700005,1
562113100004843,81916568,2458573.665038674,58573.1656829,13.5309887,0.0111169172,0,zg,91.8824477,22.3575398,0.497000009,-0.0309999995,20190331165683,562,0xd,0x1,20.7800007,26.0321617,0.0258901175,-0.060043212,7.94663902e-06,30,1.31200004,1
562113100004843,82118599,2458575.685152288,58575.1859954,13.4495296,0.01104612,32768,zg,91.8824491,22.3575378,0.412999988,0.0189999994,20190402185984,562,0xd,0x1,19.9899998,25.1396255,0.037899781,-0.0487422906,1.6782089e-05,30,1.49600005,1
562113100004843,82718443,2458581.6830074564,58581.1844329,13.4915257,0.0110823726,0,zg,91.8824183,22.3575197,0.916999996,-0.00200000009,20190408184421,562,0xd,0x1,20.2999992,25.8891926,0.0324387215,-0.0561630651,1.24869703e-05,30,1.64199996,1
562113100004843,82815217,2458582.650657983,58582.1521759,13.48631,0.0110778417,0,zg,91.8824435,22.35754,0.912999988,0.00100000005,20190409152153,562,0xd,0x1,20.7700005,25.971899,0.0244198889,-0.0495004989,7.07032632e-06,30,1.38199997,1
